,Awards,Country,DVD,Director,Language,Metascore,Plot,Poster,Production,Rated,Rating,RatingSource,Released,Response,Runtime,Title,Type,Website,Year,imdbID,imdbRating,imdbVotes
9397,2 nominations.,"UK, USA",14 Jul 2015,John Madden,English,51,As the Best Exotic Marigold Hotel has only a single remaining vacancy - posing a rooming predicament for two fresh arrivals - Sonny pursues his expansionist dream of opening a second hotel.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3MjkxNjc0OV5BMl5BanBnXkFtZTgwMjc0NDg0NDE@._V1_SX300.jpg,20th Century Fox,PG,6.6/10,Internet Movie Database,06 Mar 2015,True,122 min,The Second Best Exotic Marigold Hotel,movie,http://www.foxsearchlight.com/thesecondbestexoticmarigoldhotel/,2015,tt2555736,6.6,"26,723"
9400,N/A,Mexico,04 Aug 2015,Pedro Pablo Ibarra,Spanish,N/A,"When aspiring actress Maria Laura's best friend begs her to flirt with her boyfriend to test his fidelity, Maria finds a lucrative new career. After being hired by women across the city, ...",https://ia.media-imdb.com/images/M/MV5BNjEzODA5OTU3Nl5BMl5BanBnXkFtZTgwMzcyODAxNDE@._V1_SX300.jpg,Pantelion Films,PG-13,6.4/10,Internet Movie Database,26 Feb 2015,True,99 min,A la mala,movie,http://www.alamalamovie.com/,2015,tt4357170,6.4,"1,947"
9402,2 nominations.,USA,N/A,David Gelb,English,31,A group of medical researchers discover a way to bring dead patients back to life.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2ODM1OTA0M15BMl5BanBnXkFtZTgwMDMxMDI5MzE@._V1_SX300.jpg,N/A,PG-13,5.2/10,Internet Movie Database,27 Feb 2015,True,83 min,The Lazarus Effect,movie,N/A,2015,tt2918436,5.2,"33,814"
9404,3 wins & 6 nominations.,Romania,05 Jan 2017,Adrian Tofei,English,N/A,A young man in Romania goes to shocking extremes to convince Hollywood actress Anne Hathaway to star in his film.,https://images-na.ssl-images-amazon.com/images/M/MV5BNGY5Y2FjZDktZTIxMi00ZTU5LWIyNTgtYTc2ZGZiMmJkZGY4XkEyXkFqcGdeQXVyMjIwMjE3ODc@._V1_SX300.jpg,N/A,N/A,6.5/10,Internet Movie Database,05 Dec 2016,True,87 min,Be My Cat: A Film for Anne,movie,N/A,2015,tt3176980,6.5,519
9406,3 nominations.,"South Africa, USA",16 Jun 2015,Neill Blomkamp,English,41,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNTI4NTIwNl5BMl5BanBnXkFtZTgwMjQ4MTI0NDE@._V1_SX300.jpg,Sony Pictures,R,6.8/10,Internet Movie Database,06 Mar 2015,True,120 min,Chappie,movie,http://www.chappie-movie.com/,2015,tt1823672,6.8,"200,809"
9409,N/A,USA,06 Oct 2015,"Adam Carolla, Kevin Hench",English,50,"Following an expensive divorce and the cancellation of his TV show, a stand-up comic is forced to go back on the road to provide for his daughter.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5MjA3MzIxMV5BMl5BanBnXkFtZTgwMDA5NjY2NDE@._V1_SX300.jpg,FilmBuff,NOT RATED,6.1/10,Internet Movie Database,06 Mar 2015,True,98 min,Road Hard,movie,http://www.roadhardmovie.com/,2015,tt3110770,6.1,"1,521"
9412,1 nomination.,USA,16 Jun 2015,Ken Scott,English,32,A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every way imaginable - and unimaginable.,https://images-na.ssl-images-amazon.com/images/M/MV5BNGMwYjc3ZWEtNjMxNS00MzdkLWEwYWQtYWRkMDUwZWRhMjE5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,20th Century Fox,R,5.4/10,Internet Movie Database,06 Mar 2015,True,91 min,Unfinished Business,movie,http://www.UnfinishedBusinesstheMovie.com,2015,tt2358925,5.4,"26,656"
9415,2 wins & 9 nominations.,USA,28 Jul 2015,Tim Johnson,"English, French",55,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExOTQ4MDMyMV5BMl5BanBnXkFtZTgwMTE3NDM2MzE@._V1_SX300.jpg,Dreamworks,PG,6.7/10,Internet Movie Database,27 Mar 2015,True,94 min,Home,movie,http://www.meettheboov.com/,2015,tt2224026,6.7,"81,351"
9418,1 nomination.,Luxembourg,N/A,Donato Rotunno,Luxembourgish,N/A,"Two troubled teens in Luxembourg act out their frustrations on the world, and slowly grow closer.",http://ia.media-imdb.com/images/M/MV5BOWEyMDU3ZjUtYzNiNC00OTYyLWIwZTQtNzgyZmQ0OWZiMmMyXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg,N/A,N/A,6.5/10,Internet Movie Database,11 Mar 2015,True,90 min,Baby(a)lone,movie,N/A,2015,tt3301888,6.5,29
9419,N/A,Malaysia,N/A,"Ghaz Abu Bakar, Yusry Abd Halim",Malay,N/A,"Set after 7 years of the event of Cicakman 2: Planet Hitam. Cicakman, the former superhero of Metrofulus had disappeared with people claiming Cicakman is dead or has retired. In his absence...",https://images-na.ssl-images-amazon.com/images/M/MV5BOWI4MDJlZDctMmJhNy00YjZmLWJiYzktYWYxYTJiZWUzMmZlXkEyXkFqcGdeQXVyNjY1NTMwMDI@._V1_SX300.jpg,N/A,N/A,5.6/10,Internet Movie Database,12 Mar 2015,True,N/A,Cicak Man 3,movie,N/A,2015,tt3229648,5.6,43
9420,4 nominations.,India,N/A,Navdeep Singh,Hindi,N/A,"On their way to a weekend retreat, a married couple find their dream vacation turn into a nightmare when they cross paths with a dangerous gang.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTUyMzk3MzQ5OV5BMl5BanBnXkFtZTgwNDM3MjM5NDE@._V1_SX300.jpg,Eros Entertainment,NOT RATED,7.2/10,Internet Movie Database,13 Mar 2015,True,115 min,Nh10,movie,N/A,2015,tt3742284,7.2,"10,102"
9422,N/A,USA,16 Jun 2015,Jaume Collet-Serra,English,59,"Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2ODI3ODEyOV5BMl5BanBnXkFtZTgwMTM3NTQzNDE@._V1_SX300.jpg,Warner Bros.,R,6.6/10,Internet Movie Database,13 Mar 2015,True,114 min,Run All Night,movie,http://runallnightmovie.com/,2015,tt2199571,6.6,"87,667"
9425,Nominated for 1 Golden Globe. Another 6 wins & 3 nominations.,"Finland, Estonia, Germany",N/A,Klaus Härö,"Estonian, Russian, Armenian",60,"Fleeing from the Russian secret police, a young Estonian fencer is forced to return to his homeland, where he becomes a physical education teacher at a local school. The past however catches up and puts him in front of a difficult choice.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ0MTEyMTY5Nl5BMl5BanBnXkFtZTgwMTczNzc5MjI@._V1_SX300.jpg,CFI,N/A,7.2/10,Internet Movie Database,21 Jul 2017,True,99 min,The Fencer,movie,http://www.cafilm.org/thefencer/,2015,tt2534634,7.2,"3,394"
9428,6 wins & 13 nominations.,USA,03 Nov 2015,Todd Strauss-Schulson,English,59,"A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4Nzk2NzAzOV5BMl5BanBnXkFtZTgwNjI1NzY4NjE@._V1_SX300.jpg,Stage 6 Films,PG-13,6.6/10,Internet Movie Database,05 Nov 2015,True,88 min,The Final Girls,movie,http://https://www.facebook.com/TheFinalGirls,2015,tt2118624,6.6,"26,705"
9431,1 nomination.,USA,N/A,Jamie Babbit,English,34,Follows the lives two co-dependent sisters who work as hotel maids in Fresno.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTMxMzY0ODM2NV5BMl5BanBnXkFtZTgwODA3MDI1NjE@._V1_SX300.jpg,Gravitas Ventures,NOT RATED,5.3/10,Internet Movie Database,01 Sep 2015,True,85 min,Addicted to Fresno,movie,http://gamechanger-films.com/fresno-2/,2015,tt4000870,5.3,"1,751"
9434,2 wins & 10 nominations.,USA,14 Jun 2016,Michael Showalter,English,63,A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NTM3MTI1MF5BMl5BanBnXkFtZTgwMTAzNTAzNzE@._V1_SX300.jpg,Red Crown Productions,R,6.6/10,Internet Movie Database,01 Apr 2016,True,90 min,"Hello, My Name Is Doris",movie,N/A,2015,tt3766394,6.6,"15,186"
9437,Nominated for 2 Golden Globes. Another 5 wins & 25 nominations.,"Japan, USA",10 Nov 2015,Judd Apatow,English,75,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MjgwNTMyOV5BMl5BanBnXkFtZTgwMTc1MjI0NDE@._V1_SX300.jpg,Universal Pictures,R,6.2/10,Internet Movie Database,17 Jul 2015,True,125 min,Trainwreck,movie,http://www.trainwreckmovie.com/,2015,tt3152624,6.2,"113,713"
9440,4 wins & 4 nominations.,"Germany, Serbia",N/A,Goran Radovanovic,"Serbian, German, Albanian, Italian",N/A,"Kosovo 2004, five years after the war. Nenad, ten year old Christian boy from a Serbian enclave, determined to create a proper community burial for his late grandfather, crosses enemy lines...",https://images-na.ssl-images-amazon.com/images/M/MV5BNzZlNjgxNDQtZDRiOS00Nzc1LWJiNDYtOGI2MjQ4M2Y0NThiXkEyXkFqcGdeQXVyMjM5MTg4MjQ@._V1_SX300.jpg,N/A,N/A,7.8/10,Internet Movie Database,19 Mar 2015,True,92 min,Enclave,movie,N/A,2015,tt2886632,7.8,"1,497"
9441,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,USA,30 Jun 2015,Dan Fogelman,English,58,An aging rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDk5NTYxOTk2MV5BMl5BanBnXkFtZTgwMzIxMjE0MzE@._V1_SX300.jpg,Bleecker Street Films,R,7.0/10,Internet Movie Database,10 Apr 2015,True,106 min,Danny Collins,movie,http://www.DannyCollinsMovie.com,2015,tt1772288,7.0,"25,441"
9444,1 nomination.,USA,04 Aug 2015,Jon Gunn,English,22,"When a pastor is shaken by the visible faith of a street-corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MzAxMjUyMl5BMl5BanBnXkFtZTgwNDk1OTMwNDE@._V1_SX300.jpg,Freestyle Releasing,PG-13,6.1/10,Internet Movie Database,20 Mar 2015,True,120 min,Do You Believe?,movie,http://www.doyoubelieve.com,2015,tt4056738,6.1,"5,822"
9447,N/A,Pakistan,N/A,Yasir Jaswal,Urdu,N/A,"Two friends get tangled up in debt with the local mafia called The Unit. As they look for ways to pay the debt before The Unit comes to collect, they find out there in deeper waters than they thought.",https://images-na.ssl-images-amazon.com/images/M/MV5BNWMzZjUwZTgtNDY3NS00NjEwLThiM2ItOGFiMWRjNmIwMTczXkEyXkFqcGdeQXVyMzc0NzU5MTc@._V1_SX300.jpg,N/A,N/A,6.8/10,Internet Movie Database,20 Mar 2015,True,117 min,Jalaibee,movie,N/A,2015,tt3460084,6.8,823
9448,1 nomination.,"USA, Spain, UK, France",30 Jun 2015,Pierre Morel,"English, Spanish",39,"A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MzE5ODY5MF5BMl5BanBnXkFtZTgwNTI0NjM1NDE@._V1_SX300.jpg,Open Road Films,R,5.8/10,Internet Movie Database,20 Mar 2015,True,115 min,The Gunman,movie,http://thegunmanthefilm.com/,2015,tt2515034,5.8,"33,204"
9451,1 win & 3 nominations.,Russia,N/A,Aleksandr Voytinskiy,Russian,N/A,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMzIzODNlNjMtMTFhMy00NGYyLWFkZjYtODMzY2ZhMmJjMzVjXkEyXkFqcGdeQXVyMzQzNDc4NTQ@._V1_SX300.jpg,N/A,N/A,6.7/10,Internet Movie Database,26 Mar 2015,True,90 min,Prizrak,movie,N/A,2015,tt4559932,6.7,472
9452,2 nominations.,USA,30 Jun 2015,Etan Cohen,English,34,"When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3OTc1NjM0M15BMl5BanBnXkFtZTgwNjAyMzE1MzE@._V1_SX300.jpg,Warner Bros. Pictures,R,6.0/10,Internet Movie Database,27 Mar 2015,True,100 min,Get Hard,movie,http://www.GetHardMovie.com,2015,tt2561572,6.0,"101,986"
9458,6 nominations.,UK,07 Jul 2015,Simon Curtis,"English, German",51,"Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMTUxNDQ5MjdeQTJeQWpwZ15BbWU4MDk4NTgxMzQx._V1_SX300.jpg,The Weinstein Company,PG-13,7.3/10,Internet Movie Database,10 Apr 2015,True,109 min,Woman in Gold,movie,http://www.facebook.com/WomanInGoldMovie,2015,tt2404425,7.3,"43,858"
9461,N/A,India,N/A,Dibakar Banerjee,Hindi,N/A,Detective Byomkesh Bakshy is set in the 2nd World War torn Calcutta during the 1940s. Enter a magical world of nostalgia and 'Expect the Unexpected'.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyNzQ0MTAxNl5BMl5BanBnXkFtZTgwMDY2NjM4MzE@._V1_SX300.jpg,Yash Raj Films,NOT RATED,7.6/10,Internet Movie Database,03 Apr 2015,True,139 min,Detective Byomkesh Bakshy!,movie,http://www.detectivebyomkeshbakshy.com/,2015,tt3447364,7.6,"12,784"
9463,N/A,"UK, South Korea",30 Jun 2015,Kazuaki Kiriya,English,27,A fallen warrior rises against a corrupt and sadistic ruler to avenge his dishonored master.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MDM3MTc4OF5BMl5BanBnXkFtZTgwMTUxNDM3NDE@._V1_SX300.jpg,Lionsgate Films,R,6.2/10,Internet Movie Database,03 Apr 2015,True,115 min,Last Knights,movie,N/A,2015,tt2493486,6.2,"32,982"
9466,1 nomination.,USA,31 Aug 2015,Chad Burns,English,N/A,A British East India Trading Company assassin seeks to redeem his past by thwarting a plot against a young nation's hope for freedom.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQzMjQxMTgxNF5BMl5BanBnXkFtZTgwODA1MjMwNDE@._V1_SX300.jpg,Freestyle Releasing,PG,5.0/10,Internet Movie Database,06 Apr 2015,True,103 min,Beyond the Mask,movie,http://www.beyondthemaskmovie.com/home,2015,tt2433040,5.0,"2,332"
9468,N/A,"UK, France, USA",06 Oct 2015,Gilles Paquet-Brenner,English,39,"Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night.",https://ia.media-imdb.com/images/M/MV5BMTY1NTM4ODYzM15BMl5BanBnXkFtZTgwNTY2NDIwNjE@._V1_SX300.jpg,Exclusive Releasing,R,6.2/10,Internet Movie Database,18 Jun 2015,True,113 min,Dark Places,movie,N/A,2015,tt2402101,6.2,"34,695"
9471,N/A,USA,31 Aug 2015,Vidhu Vinod Chopra,English,32,"The bonds of brotherhood, the laws of loyalty, and the futility of violence in the shadows of the US Mexico border gang wars.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTEyODkzODExMzReQTJeQWpwZ15BbWU4MDU0NjM2NzQx._V1_SX300.jpg,Vinod Chopra Films,R,5.7/10,Internet Movie Database,10 Apr 2015,True,101 min,Broken Horses,movie,http://www.vinodchopra.com/,2015,tt2503954,5.7,"1,845"
9474,1 win & 5 nominations.,USA,14 Jul 2015,George Tillman Jr.,English,33,"The lives of a young couple intertwine with a much older man, as he reflects back on a past love.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzIzMjg0NjQwNF5BMl5BanBnXkFtZTgwODAwOTE4MzE@._V1_SX300.jpg,20th Century Fox,PG-13,7.1/10,Internet Movie Database,10 Apr 2015,True,123 min,The Longest Ride,movie,http://www.facebook.com/TheLongestRide,2015,tt2726560,7.1,"63,667"
9477,N/A,Australia,08 May 2015,Shane Abbess,English,N/A,"An elite 'search and rescue' team transport onto an off-world mining-facility to rescue Whit Carmichael, the lone survivor of a biological outbreak.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyODcwNzQ3MV5BMl5BanBnXkFtZTgwNDkyOTE3MjE@._V1_SX300.jpg,Vertical Entertainment,R,5.4/10,Internet Movie Database,20 May 2015,True,110 min,Infini,movie,http://infinimovie.com/,2015,tt3327624,5.4,"12,428"
9482,11 wins & 23 nominations.,"Italy, France, Germany",N/A,Nanni Moretti,"Italian, English, French",70,"Margherita, a director in the middle of an existential crisis, has to deal with the inevitable and still unacceptable loss of her mother.",https://ia.media-imdb.com/images/M/MV5BMTU5OTM2MDQxNV5BMl5BanBnXkFtZTgwMTg3OTY2OTE@._V1_SX300.jpg,N/A,R,6.8/10,Internet Movie Database,26 Aug 2016,True,106 min,Mia Madre,movie,N/A,2015,tt3013610,6.8,"5,739"
9484,2 nominations.,"Czech Republic, UK, USA, Russia",04 Aug 2015,Daniel Espinosa,"English, Russian",41,A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1NTkxOTc5Nl5BMl5BanBnXkFtZTgwODI0NTg0NDE@._V1_SX300.jpg,Summit Entertainment,R,6.5/10,Internet Movie Database,17 Apr 2015,True,137 min,Child 44,movie,http://www.child44film.com/,2015,tt1014763,6.5,"52,905"
9487,2 wins & 10 nominations.,"UK, USA",04 Aug 2015,Thomas Vinterberg,English,71,"In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzI4NzUwNDgwN15BMl5BanBnXkFtZTgwNTI3MjMwNTE@._V1_SX300.jpg,20th Century Fox,PG-13,7.1/10,Internet Movie Database,22 May 2015,True,119 min,Far from the Madding Crowd,movie,http://www.facebook.com/maddingcrowdmovie,2015,tt2935476,7.1,"37,460"
9490,2 wins & 1 nomination.,USA,15 Sep 2015,"Mark Linfield, Alastair Fothergill(co-director)",English,72,"A nature documentary that follows a newborn monkey and its mother as they struggle to survive within the competitive social hierarchy of the Temple Troop, a dynamic group of monkeys who ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMzIxNDc1MDg0MF5BMl5BanBnXkFtZTgwNTI3ODE4MzE@._V1_SX300.jpg,Walt Disney Pictures,G,7.3/10,Internet Movie Database,17 Apr 2015,True,81 min,Monkey Kingdom,movie,http://nature.disney.com/monkey-kingdom,2015,tt3660770,7.3,"3,115"
9493,1 win & 9 nominations.,USA,21 Jul 2015,Andy Fickman,English,13,"After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.",https://ia.media-imdb.com/images/M/MV5BMTkwMjkxNDQ1MV5BMl5BanBnXkFtZTgwNDQwODIxNTE@._V1_SX300.jpg,Sony Pictures,PG,4.4/10,Internet Movie Database,17 Apr 2015,True,94 min,Paul Blart: Mall Cop 2,movie,http://www.paulblart-movie.com/,2015,tt3450650,4.4,"28,202"
9496,4 nominations.,USA,04 Aug 2015,Rupert Goold,"English, Ibo",50,When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzNTc5MTA0NzleQTJeQWpwZ15BbWU4MDU1MDM2NzMx._V1_SX300.jpg,20th Century Fox,R,6.3/10,Internet Movie Database,17 Apr 2015,True,99 min,True Story,movie,http://www.foxsearchlight.com/truestory/,2015,tt2273657,6.3,"45,750"
9499,N/A,"UK, France",02 Feb 2016,Ben Palmer,English,69,"A single woman takes the place of a stranger's blind date, which leads to her finding the perfect boyfriend.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzODcxNDcxMl5BMl5BanBnXkFtZTgwODE1NjM4NTE@._V1_SX300.jpg,LionsGate Entertainment,R,6.8/10,Internet Movie Database,13 Nov 2015,True,88 min,Man Up,movie,N/A,2015,tt3064298,6.8,"40,155"
